Stock,Date,Open,High,Low,Close,Volume,PctChange
LT,07-10-2021,1710,1729.3,1700,1712.45,1380000,1.03
LT,06-10-2021,1716.7,1735.9,1690,1695.05,1850000,-1.26
LT,05-10-2021,1714.5,1740,1706,1716.7,1710000,0.08
LT,04-10-2021,1696.5,1723.95,1684.05,1715.25,1590000,1.08
LT,01-10-2021,1697.5,1712.5,1687.5,1696.9,1560000,-0.36
LT,30-09-2021,1719.95,1734.25,1697,1702.95,1790000,-1.05
LT,29-09-2021,1732,1742,1716.6,1721,1700000,-0.93
LT,28-09-2021,1745.3,1759.05,1719,1737.15,1440000,-0.14
LT,27-09-2021,1772,1782.75,1737,1739.6,1650000,-1.65
LT,24-09-2021,1780,1810,1750,1768.75,3610000,-0.05
LT,23-09-2021,1718.3,1775,1715.05,1769.7,3700000,3.44
LT,22-09-2021,1720.9,1730,1706,1710.9,1490000,-0.58
LT,21-09-2021,1698.6,1730.75,1692.4,1720.9,2030000,0.97
LT,20-09-2021,1700.2,1735,1699.95,1704.35,1820000,-0.69
LT,17-09-2021,1724,1741.7,1706.1,1716.2,3470000,-0.29
LT,16-09-2021,1709.6,1728.5,1709.25,1721.25,2130000,0.25
LT,15-09-2021,1700,1724.6,1697,1717,2760000,1.21
LT,14-09-2021,1676,1698.8,1675.4,1696.45,1410000,1.48
LT,13-09-2021,1662.05,1675.65,1660.5,1671.7,1580000,0.1
LT,09-09-2021,1655.2,1680.6,1655.2,1670.05,1230000,0.21
LT,08-09-2021,1682,1694.7,1658,1666.55,1640000,-0.9
LT,07-09-2021,1694.2,1705,1679.45,1681.7,1730000,-0.74
LT,06-09-2021,1700,1716,1690.2,1694.2,1850000,0.16
LT,03-09-2021,1697,1704.3,1672.1,1691.5,2340000,0.31
LT,02-09-2021,1687.9,1710,1682,1686.2,2400000,-0.01
LT,01-09-2021,1672.25,1718,1672.2,1686.4,3530000,0.85
LT,31-08-2021,1660.05,1676,1645,1672.2,3260000,0.73
LT,30-08-2021,1646.7,1684.95,1645.1,1660.1,3350000,1.34
LT,27-08-2021,1604,1666.7,1598.05,1638.1,4900000,2.65
LT,26-08-2021,1593.8,1602.95,1585,1595.75,2050000,0.12
LT,25-08-2021,1614.95,1626,1590,1593.8,1800000,-0.75
LT,24-08-2021,1590,1613.35,1582.8,1605.8,1580000,1.58
LT,23-08-2021,1600.1,1619,1567.9,1580.75,1970000,-0.81
LT,20-08-2021,1618.9,1623,1590,1593.6,2420000,-2.4
LT,18-08-2021,1647,1661.1,1627.1,1632.85,1570000,-0.36
LT,17-08-2021,1658,1665,1625.05,1638.75,1840000,-1.05
LT,16-08-2021,1674,1677.05,1653.35,1656.1,1790000,-0.74
LT,13-08-2021,1626,1676.8,1625,1668.4,5440000,2.77
LT,12-08-2021,1590,1627,1582,1623.45,1650000,2.54
LT,11-08-2021,1590.2,1597.9,1562.75,1583.3,1370000,-0.32
LT,10-08-2021,1606,1609.9,1572,1588.45,1430000,-0.56
LT,09-08-2021,1620,1624,1590,1597.45,1220000,-0.8
LT,06-08-2021,1627,1639,1608.3,1610.35,1190000,-1.05
LT,05-08-2021,1620,1632.85,1608.8,1627.4,1830000,0.26
LT,04-08-2021,1640,1644.3,1613.6,1623.2,2070000,-0.68
LT,03-08-2021,1625,1638.7,1610.3,1634.35,1780000,1.26
LT,02-08-2021,1606.3,1618,1602.05,1613.95,1080000,0.78
LT,30-07-2021,1598,1624.9,1585,1601.45,2540000,0.34
LT,29-07-2021,1594,1607.35,1586,1596,1670000,0.11
LT,28-07-2021,1592.45,1601.3,1553,1594.2,4120000,-0.87
LT,27-07-2021,1610.15,1619,1584.25,1608.25,3980000,0.67
LT,26-07-2021,1611.75,1627.3,1592.8,1597.6,2220000,-0.88
LT,23-07-2021,1644,1645.95,1606.85,1611.75,2260000,-1.85
LT,22-07-2021,1610,1647.15,1591.55,1642.15,3230000,3.26
LT,20-07-2021,1609.85,1622.65,1582,1590.35,1850000,-1.2
LT,19-07-2021,1600,1639.4,1597.6,1609.6,3030000,-0.57
LT,16-07-2021,1609.35,1622.8,1595.1,1618.75,4160000,0.58
LT,15-07-2021,1550,1625,1549.95,1609.35,9070000,4.19
LT,14-07-2021,1513.55,1549.9,1508,1544.7,4010000,2.05
LT,13-07-2021,1515,1515,1501.35,1513.6,995830,0.86
LT,12-07-2021,1504.4,1516,1491.6,1500.75,865280,0.08
LT,09-07-2021,1497.9,1502.85,1485.5,1499.6,1250000,-0.07
LT,08-07-2021,1503,1524,1497,1500.7,1460000,-1.04
LT,07-07-2021,1495,1519.7,1495,1516.45,1100000,0.73
LT,06-07-2021,1506,1519,1500,1505.5,1070000,-0.16
LT,05-07-2021,1490,1514,1488,1507.95,1610000,1.5
LT,02-07-2021,1500,1500.65,1475.5,1485.65,1810000,-0.45
LT,01-07-2021,1497.1,1503,1480.15,1492.3,2060000,-0.55
LT,30-06-2021,1516,1523.4,1495.5,1500.55,2140000,-0.69
LT,29-06-2021,1513,1529.8,1503.9,1510.9,2170000,-0.23
LT,28-06-2021,1526,1527.95,1510.35,1514.45,1170000,-0.62
LT,25-06-2021,1510.5,1529.3,1507.5,1523.85,2100000,1.32
LT,24-06-2021,1490,1513.2,1482,1504.05,2760000,1.68
LT,23-06-2021,1505,1507,1476.1,1479.25,1820000,-1.33
LT,22-06-2021,1470.1,1504.8,1469.55,1499.2,3860000,2.19
LT,21-06-2021,1460,1469.4,1447.25,1467.05,1970000,-0.61
LT,18-06-2021,1487.55,1490.95,1460.1,1476,4650000,-0.78
LT,17-06-2021,1481,1499.85,1480.25,1487.55,1680000,-0.22
LT,16-06-2021,1505.85,1516,1488,1490.9,1500000,-1.32
LT,15-06-2021,1520,1523.7,1505.85,1510.8,1830000,-0.33
LT,14-06-2021,1503.45,1519.5,1478,1515.75,2010000,0.82
LT,11-06-2021,1521,1527.15,1498.65,1503.45,1910000,-1.07
LT,10-06-2021,1525,1534,1515,1519.7,1580000,0.03
LT,09-06-2021,1550,1555,1513.3,1519.3,3030000,-1.93
LT,08-06-2021,1561,1583,1546.05,1549.15,3950000,-0.56
LT,07-06-2021,1545.45,1569.5,1540.75,1557.8,3130000,1.32
LT,04-06-2021,1518.95,1547.25,1516.9,1537.55,5680000,1.77
LT,03-06-2021,1480.1,1515,1473.2,1510.85,3030000,2.71
